,Date,source,Author,Twitter.Retweet,Twitter.Followers,Twitter.Following,Hashtags,in_reply_to_screen_name,in_reply_to_user_id,reply_count,favorite_count,user_location,user_verified,user_listed_count,user_favourites_count,user_geo_enabled,Snippet
,2019/04/12 18:51:02,dlvr.it,GreaterTampaBay,0,267,13,[],,,NULL,0,"Florida, USA",False,2,0,False,On the Town: Stanley Cup Pays Visit to Spectrum Bay News 9
,2019/04/12 18:45:59,Twitter for iPhone,RevEdDennis,0,106,242,[],,,NULL,0,"St Petersburg, FL",False,2,2737,True,Stuff is beginning to come out about wrong doing by democrats &amp; even the Obama administration! I wonder if local ne…
,2019/04/12 18:44:52,Twitter for iPhone,Bolts91Thunder,14,322,1217,"[{'text': 'TBLvsCBJ', 'indices': [82, 91]}]",,,NULL,0,Washington DC,False,18,6124,False,"RT @TBLightning: Time to bounce back. Here’s how to watch, stream, and listen to #TBLvsCBJ Game 2 tonight."
,2019/04/12 18:41:00,Twitter for iPhone,RemyRoe,0,713,1376,[],,,NULL,0,Florida ,False,4,254,True,Rapper DMX spent the night kicking Ybor City’s ass on the pool table after his Tampa show
,2019/04/12 18:40:23,Twitter for iPhone,carloseats,0,11063,12167,[],,,NULL,0,TPA and SF,False,331,57322,True,RT @j_rimensnyder: this is the type of news @WolfColin lives for
,2019/04/12 18:26:34,Instagram,dawnrawlinsbiz,0,1776,2174,[],,,NULL,0,Tampa,False,61,776,True,"Celebrating Gary Nager and Neighborhood News Magazine 25th Annniversary with Karaoke, food, drinks and more.....…"
,2019/04/12 18:26:07,Twitter for Android,Thompson1129420,3,29,293,[],,,NULL,0,fl,False,0,1582,False,RT @BN9: DEADLY SHOOTOUT UNFOLDS: A witness captured this video as deputies chased a carjacking suspect into woods — just feet from her car…
,2019/04/12 18:18:35,Twitter for iPad,NHLCowgirl,1,148,180,[],,,NULL,0,,False,2,1065,False,RT @NHLdotcom: 5 Keys to Game 2 between Blue Jackets and Lightning
,2019/04/12 18:16:51,SocialReport.com,homes4income,0,10059,10667,[],,,NULL,0,Tampa FL,False,238,347,False,CONTRACTOR DEFAULTS PROJECT ON U.S. 301 | FDOT told ABC Action News that they do not know why Astaldi defaulted and…
,2019/04/12 18:16:44,SocialReport.com,RafiCastro,0,544,804,[],,,NULL,1,"Tampa, FL",False,36,6,True,CONTRACTOR DEFAULTS PROJECT ON U.S. 301 | FDOT told ABC Action News that they do not know why Astaldi defaulted and…
,2019/04/12 18:16:41,SocialReport.com,RaymondBasden,0,205,439,[],,,NULL,0,Tampa,False,0,67,True,CONTRACTOR DEFAULTS PROJECT ON U.S. 301 | FDOT told ABC Action News that they do not know why Astaldi defaulted and…
,2019/04/12 18:14:54,Twitter for iPhone,Mbrums45,3,89,142,[],,,NULL,0,"Fort Myers, Florida, USA",False,1,5347,True,RT @BN9: DEADLY SHOOTOUT UNFOLDS: A witness captured this video as deputies chased a carjacking suspect into woods — just feet from her car…
,2019/04/12 18:13:46,Facebook,ericksmith42,0,80,124,[],,,NULL,0,,False,5,1526,False,Pinellas Park Sustainable Farm Supporting Area Food Pantry
,2019/04/12 18:11:00,eClincher,WeidnerLaw,0,1332,851,"[{'text': 'StPete', 'indices': [98, 105]}, {'text': 'Gardening', 'indices': [106, 116]}, {'text': 'Florida', 'indices': [117, 125]}, {'text': 'UrbanGarden', 'indices': [126, 138]}]",,,NULL,0,"St. Petersburg, FL",False,29,274,False,St. Pete Urban Garden Hopes to Encourage Residents to Start Their Own 🥗 #StPete #Gardening #Florida #UrbanGarden
,2019/04/12 18:08:21,Twitter Web Client,DavidNews2U,3,888,854,[],,,NULL,0,South Carolina,False,36,5272,False,RT @BN9: DEADLY SHOOTOUT UNFOLDS: A witness captured this video as deputies chased a carjacking suspect into woods — just feet from her car…
,2019/04/12 18:06:39,TweetDeck,jayRecher,1,3138,1634,[],,,NULL,0,"Tampa, FL",False,54,9357,True,"RT @drosennhl: Bob and gaps, CBJ PK, balance and Tampa Bay physicality -- my keys to Game 2 here in Tampa:"
,2019/04/12 18:06:22,Twitter Web Client,drosennhl,1,144972,1126,[],,,NULL,1,"New Jersey, USA",True,2640,281,True,"Bob and gaps, CBJ PK, balance and Tampa Bay physicality -- my keys to Game 2 here in Tampa:"
,2019/04/12 18:05:42,SocialNewsDesk,BN9,3,372245,333,[],,,NULL,13,Tampa Bay area,True,1745,1154,True,DEADLY SHOOTOUT UNFOLDS: A witness captured this video as deputies chased a carjacking suspect into woods — just fe…
,2019/04/12 18:03:10,Twitter for iPad,andytaylor6,2,874,865,[],,,NULL,0,"Brandon, Florida",False,72,61020,True,RT @tbocom: He lives in Tampa.
,2019/04/12 17:58:13,Twitter for Android,Wolfetwin1,2,90,72,[],,,NULL,0,"Florida, USA",False,1,3057,False,"RT @BN9: ""An example of two young people at 4 and 5 years old that knew to do the right thing and call for help,"" said Chief Dennis Jones.…"
,2019/04/12 17:56:02,Twitter for iPhone,FLA4Transparen1,0,13,264,[],,,NULL,0,"St. Petersburg, Florida",False,0,57,False,"30 year retired Captain Jack DIAZ confirms Jane Castor is a bully, just like her mob crowd at the Bay News 9 debate…"
,2019/04/12 17:46:36,Twitter Web Client,pharmacychecker,0,1253,2714,[],,,NULL,0,"New York, NY",False,16,2286,False,How Much Will Floridians Save With Drug Importation Law?
,2019/04/12 17:38:04,Twitter for iPhone,PuggieSue,2,237,94,[],,,NULL,0,Florida,False,1,8382,False,"RT @BN9: ""An example of two young people at 4 and 5 years old that knew to do the right thing and call for help,"" said Chief Dennis Jones.…"
,2019/04/12 17:34:05,dlvr.it,Tampa_NC,0,386,43,[],,,NULL,0,"Tampa, FL",False,25,0,False,Tampa News What Happened in the Stock Market Today - Motley Fool
,2019/04/12 17:09:19,SocialNewsDesk,BN9,0,372245,333,[],,,NULL,0,Tampa Bay area,True,1745,1154,True,While critics of the import plan say inspection costs will drive up the price and in the end there won't be savings…
,2019/04/12 17:04:36,IFTTT,theledger,0,11205,464,[],,,NULL,0,"Lakeland, FL",True,351,2769,True,Tampa teens busted by PCSO for grand theft auto Read more:
,2019/04/12 17:01:45,Twitter for Android,TheUnshyShy,2,43,70,[],,,NULL,0,"Florida, USA",False,4,3898,True,RT @tbocom: He lives in Tampa.
,2019/04/12 17:00:38,trueAnthem,TBBJnewsroom,0,52668,2827,[],,,NULL,0,"Tampa Bay, Florida",False,1002,3452,True,How Tod Leiweke led Bill Gates to invest in a $3B Tampa project
,2019/04/12 17:00:22,Twitter for Android,arc_tampa,0,249,2651,[],,,NULL,0,"Tampa, Florida, USA",False,3,128,True,RT @HamRadioWorld: Speaking to astronaut aboard space station 'a dream come true' for high school students. Link:
,2019/04/12 17:00:04,SocialNewsDesk,tbocom,2,134852,8987,[],,,NULL,1,"Tampa Bay, Florida",True,1157,293,False,He lives in Tampa.
,2019/04/12 16:58:50,Twitter for Android,TampaREAttorney,2,59,118,[],,,NULL,0,Tampa Bay,False,3,115,False,RT @TBBJnewsroom: The Tampa Marriott Water Street has always been a critical piece of Strategic Property Partners' vision
,2019/04/12 16:57:04,Twitter for iPhone,seandalyWFTS,0,4418,1148,"[{'text': 'TrashTagTampaBay', 'indices': [27, 44]}, {'text': 'TampaBay', 'indices': [84, 93]}]",,,NULL,0,"St. Petersburg, FL",True,144,8583,True,RT @SeanWFTS: People using #TrashTagTampaBay hashtag to create meet-ups to clean up #TampaBay area waterways. https…
,2019/04/12 16:54:46,Facebook,SusFamFound,0,378,499,[],,,NULL,0,USA,False,24,568,False,Thank you Jorja Roman at Bay News 9 for telling the story of our partnership with the St. Petersburg Free Clinic!…
,2019/04/12 16:43:07,Twitter for Android,ROBERTJFELDER2,3,48,605,"[{'text': 'StrongEurope', 'indices': [18, 31]}, {'text': 'FridayFunDay', 'indices': [32, 45]}]",,,NULL,0,"NASHOTAH, WISCONSIN , THE USA",False,0,1407,True,"RT @USArmyEurope: #StrongEurope #FridayFunDay: The 🇺🇸 Tampa Bay Buccaneer Cheerleaders and football players visited Caserma Ederle, Vicenza…"
,2019/04/12 16:42:12,IFTTT,robinsportsnews,0,9290,7102,[],,,NULL,0,RT's Are FYI Purposes Only,False,267,19,False,Sports News: PROGRAMMING ALERT: Tampa Bay Rays at Toronto Blue Jays on April 12 will air on FOX Sports Florida…
,2019/04/12 16:38:43,Twitter for Android,g8trparty,14,81,299,"[{'text': 'TBLvsCBJ', 'indices': [82, 91]}]",,,NULL,0,"ÜT: 29.622541,-82.377465",False,3,3017,True,"RT @TBLightning: Time to bounce back. Here’s how to watch, stream, and listen to #TBLvsCBJ Game 2 tonight."
,2019/04/12 16:38:02,Twitter for iPhone,cwsparker,1,710,94,[],,,NULL,0,,False,25,19346,True,RT @Tampa_NC: Tampa News Trump told CBP head he'd pardon him if he were sent to jail for violating immigration law - CNN
