Date,source,Author,Twitter.Retweet,Twitter.Followers,Twitter.Following,Hashtags,in_reply_to_screen_name,in_reply_to_user_id,reply_count,favorite_count,user_location,user_verified,user_listed_count,user_favourites_count,user_geo_enabled,Snippet
4/12/2019 18:51,dlvr.it,GreaterTampaBay,0,267,13,[],,,NULL,0,"Florida, USA",FALSE,2,0,FALSE,On the Town: Stanley Cup Pays Visit to Spectrum Bay News 9
4/12/2019 18:45,Twitter for iPhone,RevEdDennis,0,106,242,[],,,NULL,0,"St Petersburg, FL",FALSE,2,2737,TRUE,Stuff is beginning to come out about wrong doing by democrats &amp; even the Obama administration! I wonder if local ne…
4/12/2019 18:44,Twitter for iPhone,Bolts91Thunder,14,322,1217,"[{'text': 'TBLvsCBJ', 'indices': [82, 91]}]",,,NULL,0,Washington DC,FALSE,18,6124,FALSE,"RT @TBLightning: Time to bounce back. Here’s how to watch, stream, and listen to #TBLvsCBJ Game 2 tonight."
4/12/2019 18:41,Twitter for iPhone,RemyRoe,0,713,1376,[],,,NULL,0,Florida ,FALSE,4,254,TRUE,Rapper DMX spent the night kicking Ybor City’s ass on the pool table after his Tampa show
4/12/2019 18:40,Twitter for iPhone,carloseats,0,11063,12167,[],,,NULL,0,TPA and SF,FALSE,331,57322,TRUE,RT @j_rimensnyder: this is the type of news @WolfColin lives for
4/12/2019 18:26,Instagram,dawnrawlinsbiz,0,1776,2174,[],,,NULL,0,Tampa,FALSE,61,776,TRUE,"Celebrating Gary Nager and Neighborhood News Magazine 25th Annniversary with Karaoke, food, drinks and more.....…"
4/12/2019 18:26,Twitter for Android,Thompson1129420,3,29,293,[],,,NULL,0,fl,FALSE,0,1582,FALSE,RT @BN9: DEADLY SHOOTOUT UNFOLDS: A witness captured this video as deputies chased a carjacking suspect into woods — just feet from her car…
4/12/2019 18:18,Twitter for iPad,NHLCowgirl,1,148,180,[],,,NULL,0,,FALSE,2,1065,FALSE,RT @NHLdotcom: 5 Keys to Game 2 between Blue Jackets and Lightning
4/12/2019 18:16,SocialReport.com,homes4income,0,10059,10667,[],,,NULL,0,Tampa FL,FALSE,238,347,FALSE,CONTRACTOR DEFAULTS PROJECT ON U.S. 301 | FDOT told ABC Action News that they do not know why Astaldi defaulted and…
4/12/2019 18:16,SocialReport.com,RafiCastro,0,544,804,[],,,NULL,1,"Tampa, FL",FALSE,36,6,TRUE,CONTRACTOR DEFAULTS PROJECT ON U.S. 301 | FDOT told ABC Action News that they do not know why Astaldi defaulted and…
4/12/2019 18:16,SocialReport.com,RaymondBasden,0,205,439,[],,,NULL,0,Tampa,FALSE,0,67,TRUE,CONTRACTOR DEFAULTS PROJECT ON U.S. 301 | FDOT told ABC Action News that they do not know why Astaldi defaulted and…
4/12/2019 18:14,Twitter for iPhone,Mbrums45,3,89,142,[],,,NULL,0,"Fort Myers, Florida, USA",FALSE,1,5347,TRUE,RT @BN9: DEADLY SHOOTOUT UNFOLDS: A witness captured this video as deputies chased a carjacking suspect into woods — just feet from her car…
4/12/2019 18:13,Facebook,ericksmith42,0,80,124,[],,,NULL,0,,FALSE,5,1526,FALSE,Pinellas Park Sustainable Farm Supporting Area Food Pantry
4/12/2019 18:11,eClincher,WeidnerLaw,0,1332,851,"[{'text': 'StPete', 'indices': [98, 105]}, {'text': 'Gardening', 'indices': [106, 116]}, {'text': 'Florida', 'indices': [117, 125]}, {'text': 'UrbanGarden', 'indices': [126, 138]}]",,,NULL,0,"St. Petersburg, FL",FALSE,29,274,FALSE,St. Pete Urban Garden Hopes to Encourage Residents to Start Their Own 🥗 #StPete #Gardening #Florida #UrbanGarden
4/12/2019 18:08,Twitter Web Client,DavidNews2U,3,888,854,[],,,NULL,0,South Carolina,FALSE,36,5272,FALSE,RT @BN9: DEADLY SHOOTOUT UNFOLDS: A witness captured this video as deputies chased a carjacking suspect into woods — just feet from her car…
4/12/2019 18:06,TweetDeck,jayRecher,1,3138,1634,[],,,NULL,0,"Tampa, FL",FALSE,54,9357,TRUE,"RT @drosennhl: Bob and gaps, CBJ PK, balance and Tampa Bay physicality -- my keys to Game 2 here in Tampa:"
4/12/2019 18:06,Twitter Web Client,drosennhl,1,144972,1126,[],,,NULL,1,"New Jersey, USA",TRUE,2640,281,TRUE,"Bob and gaps, CBJ PK, balance and Tampa Bay physicality -- my keys to Game 2 here in Tampa:"
4/12/2019 18:05,SocialNewsDesk,BN9,3,372245,333,[],,,NULL,13,Tampa Bay area,TRUE,1745,1154,TRUE,DEADLY SHOOTOUT UNFOLDS: A witness captured this video as deputies chased a carjacking suspect into woods — just fe…
4/12/2019 18:03,Twitter for iPad,andytaylor6,2,874,865,[],,,NULL,0,"Brandon, Florida",FALSE,72,61020,TRUE,RT @tbocom: He lives in Tampa.
4/12/2019 17:58,Twitter for Android,Wolfetwin1,2,90,72,[],,,NULL,0,"Florida, USA",FALSE,1,3057,FALSE,"RT @BN9: ""An example of two young people at 4 and 5 years old that knew to do the right thing and call for help,"" said Chief Dennis Jones.…"
4/12/2019 17:56,Twitter for iPhone,FLA4Transparen1,0,13,264,[],,,NULL,0,"St. Petersburg, Florida",FALSE,0,57,FALSE,"30 year retired Captain Jack DIAZ confirms Jane Castor is a bully, just like her mob crowd at the Bay News 9 debate…"
4/12/2019 17:46,Twitter Web Client,pharmacychecker,0,1253,2714,[],,,NULL,0,"New York, NY",FALSE,16,2286,FALSE,How Much Will Floridians Save With Drug Importation Law?
4/12/2019 17:38,Twitter for iPhone,PuggieSue,2,237,94,[],,,NULL,0,Florida,FALSE,1,8382,FALSE,"RT @BN9: ""An example of two young people at 4 and 5 years old that knew to do the right thing and call for help,"" said Chief Dennis Jones.…"
4/12/2019 17:34,dlvr.it,Tampa_NC,0,386,43,[],,,NULL,0,"Tampa, FL",FALSE,25,0,FALSE,Tampa News What Happened in the Stock Market Today - Motley Fool
4/12/2019 17:09,SocialNewsDesk,BN9,0,372245,333,[],,,NULL,0,Tampa Bay area,TRUE,1745,1154,TRUE,While critics of the import plan say inspection costs will drive up the price and in the end there won't be savings…
4/12/2019 17:04,IFTTT,theledger,0,11205,464,[],,,NULL,0,"Lakeland, FL",TRUE,351,2769,TRUE,Tampa teens busted by PCSO for grand theft auto Read more:
4/12/2019 17:01,Twitter for Android,TheUnshyShy,2,43,70,[],,,NULL,0,"Florida, USA",FALSE,4,3898,TRUE,RT @tbocom: He lives in Tampa.
4/12/2019 17:00,trueAnthem,TBBJnewsroom,0,52668,2827,[],,,NULL,0,"Tampa Bay, Florida",FALSE,1002,3452,TRUE,How Tod Leiweke led Bill Gates to invest in a $3B Tampa project
4/12/2019 17:00,Twitter for Android,arc_tampa,0,249,2651,[],,,NULL,0,"Tampa, Florida, USA",FALSE,3,128,TRUE,RT @HamRadioWorld: Speaking to astronaut aboard space station 'a dream come true' for high school students. Link:
4/12/2019 17:00,SocialNewsDesk,tbocom,2,134852,8987,[],,,NULL,1,"Tampa Bay, Florida",TRUE,1157,293,FALSE,He lives in Tampa.
4/12/2019 16:58,Twitter for Android,TampaREAttorney,2,59,118,[],,,NULL,0,Tampa Bay,FALSE,3,115,FALSE,RT @TBBJnewsroom: The Tampa Marriott Water Street has always been a critical piece of Strategic Property Partners' vision
4/12/2019 16:57,Twitter for iPhone,seandalyWFTS,0,4418,1148,"[{'text': 'TrashTagTampaBay', 'indices': [27, 44]}, {'text': 'TampaBay', 'indices': [84, 93]}]",,,NULL,0,"St. Petersburg, FL",TRUE,144,8583,TRUE,RT @SeanWFTS: People using #TrashTagTampaBay hashtag to create meet-ups to clean up #TampaBay area waterways. https…
4/12/2019 16:54,Facebook,SusFamFound,0,378,499,[],,,NULL,0,USA,FALSE,24,568,FALSE,Thank you Jorja Roman at Bay News 9 for telling the story of our partnership with the St. Petersburg Free Clinic!…
4/12/2019 16:43,Twitter for Android,ROBERTJFELDER2,3,48,605,"[{'text': 'StrongEurope', 'indices': [18, 31]}, {'text': 'FridayFunDay', 'indices': [32, 45]}]",,,NULL,0,"NASHOTAH, WISCONSIN , THE USA",FALSE,0,1407,TRUE,"RT @USArmyEurope: #StrongEurope #FridayFunDay: The 🇺🇸 Tampa Bay Buccaneer Cheerleaders and football players visited Caserma Ederle, Vicenza…"
4/12/2019 16:42,IFTTT,robinsportsnews,0,9290,7102,[],,,NULL,0,RT's Are FYI Purposes Only,FALSE,267,19,FALSE,Sports News: PROGRAMMING ALERT: Tampa Bay Rays at Toronto Blue Jays on April 12 will air on FOX Sports Florida…
4/12/2019 16:38,Twitter for Android,g8trparty,14,81,299,"[{'text': 'TBLvsCBJ', 'indices': [82, 91]}]",,,NULL,0,"ÜT: 29.622541,-82.377465",FALSE,3,3017,TRUE,"RT @TBLightning: Time to bounce back. Here’s how to watch, stream, and listen to #TBLvsCBJ Game 2 tonight."
4/12/2019 16:38,Twitter for iPhone,cwsparker,1,710,94,[],,,NULL,0,,FALSE,25,19346,TRUE,RT @Tampa_NC: Tampa News Trump told CBP head he'd pardon him if he were sent to jail for violating immigration law - CNN
4/12/2019 16:37,Twitter for iPhone,AlexisTBBJ,6,4858,3268,[],,,NULL,0,"Tampa Bay, Florida",FALSE,217,5693,TRUE,RT @TBBJLauren: My first ever front page @TBBJnewsroom story is about how Tampa Bay is an absolute powerhouse when it comes to producing pa…
4/12/2019 16:36,Facebook,SignalSeventeen,0,21,93,[],,,NULL,0,"Ohio, USA",FALSE,0,1,FALSE,"90 minutes to game time. Tampa, you are going down."
4/12/2019 16:36,Twitter for Android,WICKEDLADYBOLT,14,89,163,"[{'text': 'TBLvsCBJ', 'indices': [82, 91]}]",,,NULL,0,"Tampa, FL",FALSE,4,9960,TRUE,"RT @TBLightning: Time to bounce back. Here’s how to watch, stream, and listen to #TBLvsCBJ Game 2 tonight."
4/12/2019 16:35,Twitter Web Client,alvaredi,13,813,682,"[{'text': 'Tampa', 'indices': [29, 35]}, {'text': 'founddog', 'indices': [111, 120]}, {'text': 'foundlostdogs', 'indices': [121, 135]}]",,,NULL,0,USA,FALSE,8,1759,FALSE,RT @FoundLostDogs: Found Dog #Tampa Florida please help this caring person by sharing #founddog #foundlostdogs det…
4/12/2019 16:34,dlvr.it,Tampa_NC,1,386,43,[],,,NULL,0,"Tampa, FL",FALSE,25,0,FALSE,Tampa News Trump told CBP head he'd pardon him if he were sent to jail for violating immigration law - CNN…
4/12/2019 16:34,Twitter for iPhone,supmurph,14,618,226,"[{'text': 'TBLvsCBJ', 'indices': [82, 91]}]",,,NULL,0,"Orlando, FL",FALSE,11,2793,TRUE,"RT @TBLightning: Time to bounce back. Here’s how to watch, stream, and listen to #TBLvsCBJ Game 2 tonight."
4/12/2019 16:33,Twitter for Android,SerenaDSouza3,14,101,237,"[{'text': 'TBLvsCBJ', 'indices': [82, 91]}]",,,NULL,0,"St Cloud, FL",FALSE,0,29508,FALSE,"RT @TBLightning: Time to bounce back. Here’s how to watch, stream, and listen to #TBLvsCBJ Game 2 tonight."
4/12/2019 16:32,Facebook,UrbanLivingTB,0,66,43,[],,,NULL,0,"Tampa, Florida",FALSE,4,24,TRUE,"Coming in 2021 to Midtown Tampa (along with a Whole Foods Market), a healthy restaurant concept backed by Oprah. Me…"
4/12/2019 16:31,Twitter for iPhone,Baycrab3,14,2619,3567,"[{'text': 'TBLvsCBJ', 'indices': [82, 91]}]",,,NULL,0,Florida!! ,FALSE,155,240229,TRUE,"RT @TBLightning: Time to bounce back. Here’s how to watch, stream, and listen to #TBLvsCBJ Game 2 tonight."
4/12/2019 16:30,Twitter for Android,TERI_SHEEN,14,191,307,"[{'text': 'TBLvsCBJ', 'indices': [82, 91]}]",,,NULL,0,"Seffner, Fl",FALSE,3,19543,TRUE,"RT @TBLightning: Time to bounce back. Here’s how to watch, stream, and listen to #TBLvsCBJ Game 2 tonight."
4/12/2019 16:30,Twitter for iPhone,_TellTaleRaven_,14,125,616,"[{'text': 'TBLvsCBJ', 'indices': [82, 91]}]",,,NULL,0,"Louisiana, USA",FALSE,0,5395,TRUE,"RT @TBLightning: Time to bounce back. Here’s how to watch, stream, and listen to #TBLvsCBJ Game 2 tonight."
4/12/2019 16:30,Twitter for iPhone,ScottSt1963,14,294,1129,"[{'text': 'TBLvsCBJ', 'indices': [82, 91]}]",,,NULL,0,"Florida, USA",FALSE,0,3958,TRUE,"RT @TBLightning: Time to bounce back. Here’s how to watch, stream, and listen to #TBLvsCBJ Game 2 tonight."
4/12/2019 16:30,TweetDeck,TBLightning,14,688938,2771,"[{'text': 'TBLvsCBJ', 'indices': [65, 74]}]",,,NULL,86,Amalie Arena,TRUE,4597,4410,TRUE,"Time to bounce back. Here’s how to watch, stream, and listen to #TBLvsCBJ Game 2 tonight."
4/12/2019 16:28,Twitter Web App,AllardVegelien,13,137634,150182,"[{'text': 'Tampa', 'indices': [29, 35]}, {'text': 'founddog', 'indices': [111, 120]}, {'text': 'foundlostdogs', 'indices': [121, 135]}]",,,NULL,0,Linkedin Allard Vegelien,FALSE,240,5456,TRUE,RT @FoundLostDogs: Found Dog #Tampa Florida please help this caring person by sharing #founddog #foundlostdogs det…
4/12/2019 16:26,Twitter Web Client,KirkDkirk11,0,290,273,[],,,NULL,0,"Clearwater, FL",FALSE,0,18229,FALSE,Video shows burglary suspect raid Tampa home
4/12/2019 16:11,Facebook,osuperwins,0,1044,763,[],,,NULL,1,Roppongi Hills,FALSE,62,2610,TRUE,Rapper DMX spent the night kicking everyone's ass at pool after his Tampa show
4/12/2019 16:10,Twitter Web Client,WFLApeter,0,3522,934,[],,,NULL,0,"Tampa, Florida",FALSE,142,439,TRUE,Video shows burglary suspect raid Tampa home
4/12/2019 16:04,Twitter Web Client,401kspecmag,1,996,1635,[],,,NULL,0,,FALSE,24,564,FALSE,RT @FidBenchmarks: NEWS Article by @401keditor @401kspecmag Tampa Bay Bucs' Carl Nassib Tackles 401k Financial Wellness
4/12/2019 16:01,Facebook,bamahe,0,293,1188,[],,,NULL,0,33511,FALSE,3,54,TRUE,University of Tampa hosts entrepreneur expo - Tampa Bay Business Journal
