,id,Date,source,Author,Twitter.Retweet,Twitter.Followers,Twitter.Following,Hashtags,in_reply_to_screen_name,in_reply_to_user_id,reply_count,favorite_count,user_location,user_verified,user_listed_count,user_favourites_count,user_geo_enabled,Snippet
0,1116853948776878081,2019/04/12 19:01:46,Twitter for iPhone,MatthewVachon_,2,1590,882,[],,,NULL,0,"Victoriaville, Québec",False,27,1669,False,"RT @Prospects_Watch: I remember tweeting awhile back that yes Bobrovsky has poor playoff numbers, but he's too good, he'd eventually figure…"
1,1116853725207912448,2019/04/12 19:00:52,trueAnthem,JaxBizJournal,0,33337,581,[],,,NULL,0,"Jacksonville, Florida",False,471,426,False,Jacksonville developer selected to build on-site office tower and parking deck at Tampa International Airport (Rend…
2,1116853522077761536,2019/04/12 19:00:04,SocialNewsDesk,BN9,0,372246,333,[],,,NULL,0,Tampa Bay area,True,1745,1154,True,Spectrum Bay News 9 took all the statistics and reports received from both campaigns to a USF Professor of Criminol…
3,1116853516776165377,2019/04/12 19:00:03,SocialNewsDesk,PoliticsTBTimes,0,14551,1630,[],,,NULL,0,"Tampa Bay, Florida",False,658,312,True,The last televised debate saw Straz claim a state report proved Castor manipulated crime data — but that’s not what…
4,1116853015724609536,2019/04/12 18:58:03,Twitter Web Client,Prospects_Watch,2,10181,362,[],,,NULL,10,"Montréal, Québec",False,141,6337,True,"I remember tweeting awhile back that yes Bobrovsky has poor playoff numbers, but he's too good, he'd eventually fig…"
5,1116852580393586690,2019/04/12 18:56:19,Twitter for Android,DegenerateTBone,0,19063,563,[],,,NULL,10,"Columbus, OH",False,127,32007,False,"A fan in front of Jardy in Tampa apparently booed Wendy's when it appeared on the scoreboard, and he has dubbed thi…"
6,1116851250232905728,2019/04/12 18:51:02,dlvr.it,GreaterTampaBay,0,267,13,[],,,NULL,0,"Florida, USA",False,2,0,False,On the Town: Stanley Cup Pays Visit to Spectrum Bay News 9
7,1116849976661954560,2019/04/12 18:45:59,Twitter for iPhone,RevEdDennis,0,106,242,[],,,NULL,0,"St Petersburg, FL",False,2,2737,True,Stuff is beginning to come out about wrong doing by democrats &amp; even the Obama administration! I wonder if local ne…
8,1116849695584862208,2019/04/12 18:44:52,Twitter for iPhone,Bolts91Thunder,14,322,1217,"[{'text': 'TBLvsCBJ', 'indices': [82, 91]}]",,,NULL,0,Washington DC,False,18,6124,False,"RT @TBLightning: Time to bounce back. Here’s how to watch, stream, and listen to #TBLvsCBJ Game 2 tonight."
9,1116848723127095296,2019/04/12 18:41:00,Twitter for iPhone,RemyRoe,0,713,1376,[],,,NULL,0,Florida ,False,4,254,True,Rapper DMX spent the night kicking Ybor City’s ass on the pool table after his Tampa show
